id,locus_1,locus_2,locus_3,locus_4,locus_5,locus_6,locus_7,locus_8,locus_9,locus_10,locus_11,locus_12,locus_13,locus_14,locus_15
sample_911,121,236,109,364,426,107,215,164,106,84,119,233,209,261,124
sample_912,121,236,109,361,424,104,210,172,100,78,125,245,205,266,122
sample_913,125,245,105,368,428,104,215,159,109,82,125,245,213,272,122
sample_914,125,239,105,364,428,107,210,172,109,82,129,245,209,266,122
sample_915,119,239,113,364,428,98,215,172,106,86,127,236,205,268,122
sample_916,123,233,105,361,424,98,215,176,103,78,121,242,201,262,124
sample_917,125,239,113,372,426,101,215,168,100,82,125,242,209,262,124
sample_918,129,236,105,370,428,104,215,172,106,78,125,239,213,262,122
sample_919,123,236,109,361,426,98,215,172,106,80,121,233,205,262,122
sample_920,121,236,105,361,428,98,215,176,100,78,123,236,201,264,122
sample_921,123,239,109,370,428,101,215,172,100,80,125,239,213,261,124
sample_922,127,242,109,364,428,101,210,164,103,82,125,242,213,266,122
sample_923,123,233,109,361,424,98,215,176,103,82,125,245,205,262,122
sample_924,123,233,105,364,422,104,210,172,106,86,121,236,205,264,124
sample_925,127,242,101,372,428,104,210,164,97,82,129,233,209,270,122
sample_926,123,236,105,364,422,107,215,168,100,80,125,236,213,268,122
sample_927,129,239,109,362,426,107,210,172,97,82,121,239,209,264,124
sample_928,119,233,105,362,426,107,210,159,106,86,125,239,213,264,122
sample_929,125,239,109,372,426,101,215,172,103,80,127,239,213,262,122
sample_930,121,236,105,361,424,104,215,176,103,78,121,242,205,262,124
sample_931,125,239,105,370,428,104,215,164,97,80,127,239,209,261,124
sample_932,123,236,105,364,426,98,215,176,106,78,121,233,205,266,122
sample_933,127,242,105,362,428,104,210,164,109,82,127,233,209,264,124
sample_934,125,239,105,370,424,101,210,168,100,82,127,239,209,261,124
sample_935,125,233,109,370,428,98,215,172,97,78,123,239,205,261,124
sample_936,121,239,101,361,428,110,215,172,109,86,125,233,209,266,122
sample_937,123,236,113,361,424,98,215,172,109,86,125,239,213,266,124
sample_938,121,236,105,364,424,107,215,172,103,86,123,233,201,268,122
sample_939,129,239,109,370,428,101,215,168,97,78,125,242,209,264,124
sample_940,121,245,109,362,424,104,215,176,100,80,121,242,205,264,124
sample_941,125,239,105,372,428,104,210,172,106,82,129,236,213,266,122
sample_942,121,236,105,361,424,98,215,176,103,80,125,239,205,266,124
sample_943,121,239,109,361,424,98,215,172,103,80,123,239,205,264,122
sample_944,123,239,109,370,426,104,215,168,100,80,125,242,205,262,122
sample_945,125,233,105,364,422,107,210,172,112,86,123,233,209,270,124
sample_946,129,242,105,370,428,107,215,168,103,80,127,233,213,262,124
sample_947,121,233,109,361,424,98,215,176,103,82,123,233,205,261,122
sample_948,121,233,113,362,424,98,210,172,103,82,125,242,205,262,124
sample_949,127,242,109,366,428,107,210,168,109,82,127,233,213,272,124
sample_950,127,233,109,372,428,101,215,168,100,80,129,239,213,264,124
sample_951,125,239,105,372,426,98,210,168,103,78,123,239,205,262,124
sample_952,123,233,105,362,424,98,215,172,103,84,121,242,205,264,122
sample_953,121,233,109,361,424,101,215,176,103,80,123,245,205,262,122
sample_954,127,239,105,372,426,101,215,168,106,80,125,239,209,264,124
sample_955,123,233,105,362,424,98,215,172,106,78,121,242,205,262,122
sample_956,125,239,105,372,422,107,215,164,97,78,129,239,205,264,124
sample_957,121,239,113,361,424,98,215,172,106,84,121,242,205,266,124
sample_958,129,239,101,364,428,110,210,168,100,84,129,233,213,266,124
sample_959,123,236,113,362,426,98,210,172,112,84,125,233,201,268,124
sample_960,129,245,101,364,428,104,215,164,106,82,125,242,213,264,122
sample_961,129,242,101,368,424,104,210,164,103,82,127,236,213,264,122
sample_962,125,245,101,362,428,107,215,168,106,82,127,245,209,262,122
sample_963,129,242,105,362,424,107,215,164,106,82,127,245,209,272,122
sample_964,125,239,105,372,424,101,215,168,100,78,129,239,209,262,122
sample_965,119,233,105,364,426,110,210,172,109,86,129,239,209,270,122
sample_966,123,236,109,364,428,104,215,168,109,84,119,236,205,264,124
sample_967,125,233,109,370,422,104,215,159,97,78,129,236,205,264,122
sample_968,127,242,105,370,428,110,210,164,109,82,125,245,213,270,122
sample_969,121,233,113,361,424,98,210,172,103,78,121,236,205,264,122
sample_970,125,239,105,368,424,101,215,164,100,78,129,239,209,262,122
sample_971,121,233,109,368,422,104,210,172,100,86,125,239,205,261,122
sample_972,125,236,105,372,428,110,210,164,109,82,129,239,209,266,122
sample_973,123,236,113,361,428,101,210,176,103,78,121,233,201,262,124
sample_974,125,239,113,370,424,104,215,164,103,82,125,239,205,261,124
sample_975,125,233,105,370,428,104,215,168,97,80,129,239,213,262,122
sample_976,119,233,113,361,426,98,215,176,103,78,123,242,205,262,122
sample_977,119,239,101,362,426,110,215,176,109,80,121,233,205,268,124
sample_978,123,242,105,364,422,107,210,172,100,82,121,236,209,268,124
sample_979,119,236,105,362,422,107,210,159,109,86,127,239,205,264,124
sample_980,127,239,109,364,426,104,210,159,103,86,121,236,209,264,122
sample_981,125,236,105,372,422,107,215,168,103,78,127,239,213,261,124
sample_982,121,236,105,361,428,107,210,172,109,86,129,236,201,264,124
sample_983,129,239,101,368,426,107,210,164,109,82,125,242,213,270,122
sample_984,125,245,101,362,428,104,215,164,109,80,127,233,209,272,122
sample_985,121,233,105,364,424,98,215,176,100,80,121,239,205,264,124
sample_986,127,239,105,372,426,104,215,164,103,82,129,239,205,261,124
sample_987,121,242,109,364,426,104,210,172,106,80,119,239,205,261,122
sample_988,129,233,105,368,428,107,210,164,106,84,127,242,205,264,122
sample_989,119,236,105,364,422,107,210,172,100,84,119,239,201,268,124
sample_990,127,233,101,364,428,107,210,164,97,82,127,245,209,272,122
sample_991,127,239,105,370,428,98,215,159,106,78,129,239,205,262,122
sample_992,129,233,101,364,426,110,210,164,106,82,127,242,209,268,122
sample_993,123,233,113,364,424,98,210,172,103,80,123,233,205,264,122
sample_994,127,245,105,372,428,107,210,164,106,84,129,242,209,264,122
sample_995,119,245,109,361,424,98,210,176,100,84,125,236,205,264,122
sample_996,129,239,109,372,428,101,215,168,106,82,125,239,209,264,122
sample_997,125,245,101,364,428,110,210,164,112,82,129,242,213,270,124
sample_998,127,242,109,368,424,98,215,164,103,82,127,242,209,272,122
sample_999,127,233,109,362,428,107,210,164,109,84,125,236,213,272,122
sample_1000,119,233,109,361,424,98,215,176,100,78,123,233,205,262,122
sample_1001,127,245,105,370,422,101,215,159,100,78,125,239,213,261,122
sample_1002,121,236,113,361,424,104,210,172,100,80,125,236,201,262,124
sample_1003,123,239,109,372,428,101,215,159,103,80,127,239,213,261,124
sample_1004,125,233,109,366,426,110,210,164,109,82,127,242,209,262,122
sample_1005,123,233,113,361,428,98,215,172,103,82,121,233,205,262,122
sample_1006,129,242,101,364,428,104,210,164,106,82,127,233,213,268,122
sample_1007,123,239,109,370,426,101,215,168,103,82,123,239,209,264,124
sample_1008,125,242,113,361,426,110,210,168,103,86,121,236,201,262,124
sample_1009,125,245,109,364,428,104,210,159,109,80,129,236,213,268,122
sample_1010,121,236,113,361,424,98,215,172,100,82,123,245,201,262,122
sample_1011,129,239,105,370,424,98,215,164,106,80,127,239,213,261,124
sample_1012,123,233,109,361,424,104,215,172,100,80,125,239,205,264,122
sample_1013,127,239,109,366,428,98,210,164,97,82,119,236,205,264,124
sample_1014,127,245,101,362,428,104,215,164,106,82,129,236,213,272,122
sample_1015,125,239,105,372,426,101,215,168,100,80,127,239,205,261,122
sample_1016,129,242,101,364,428,107,210,164,103,82,125,233,209,262,122
sample_1017,119,239,105,364,424,104,210,164,106,82,123,242,209,264,124
sample_1018,123,239,109,370,428,107,215,172,100,80,127,233,213,262,124
sample_1019,125,233,101,364,428,107,210,164,109,82,129,233,209,268,122
sample_1020,123,239,113,364,424,98,215,176,103,78,121,236,201,262,124
sample_1021,121,233,109,368,422,101,215,172,100,78,125,239,213,264,124
sample_1022,127,242,105,372,424,98,210,164,109,82,129,236,213,270,122
sample_1023,123,242,105,364,422,104,215,172,106,84,129,236,213,266,124
sample_1024,123,233,109,361,424,104,215,172,103,80,121,239,205,262,122
sample_1025,125,239,109,372,428,101,215,172,100,78,125,239,209,261,124
sample_1026,125,233,105,364,428,101,210,164,109,82,127,239,209,270,122
sample_1027,123,239,105,362,424,101,210,176,100,80,121,236,205,262,122
sample_1028,119,236,113,362,428,104,215,164,97,82,129,239,209,268,124
sample_1029,127,242,109,368,428,110,210,164,112,82,129,236,213,268,122
sample_1030,127,239,105,370,426,98,215,168,103,80,129,239,209,262,124
sample_1031,125,245,109,368,424,107,210,159,109,82,125,242,213,266,122
sample_1032,121,233,113,361,424,98,210,176,100,78,121,239,205,264,124
sample_1033,121,239,101,364,428,107,210,172,100,86,123,233,213,270,124
sample_1034,121,233,113,361,426,98,215,176,103,78,123,242,205,264,124
sample_1035,119,233,109,361,424,98,210,176,103,80,125,242,205,266,124
sample_1036,129,239,109,368,424,107,215,168,100,80,129,239,213,261,124
sample_1037,121,233,109,364,424,98,215,172,100,80,121,239,205,264,122
sample_1038,119,236,105,368,426,104,210,164,103,86,129,233,205,268,124
sample_1039,129,233,101,372,424,98,210,164,109,84,127,245,205,268,122
sample_1040,119,239,105,364,424,104,210,164,106,82,123,236,213,266,124
sample_1041,127,245,101,364,428,107,210,164,103,80,127,239,213,266,124
sample_1042,121,233,105,364,422,107,210,168,109,82,123,236,205,262,122
sample_1043,119,233,113,364,424,98,215,176,100,84,125,242,205,262,122
sample_1044,129,233,105,362,426,104,215,159,106,86,121,236,213,262,124
sample_1045,121,236,101,362,426,107,215,172,106,86,125,236,205,264,124
sample_1046,121,233,109,364,426,98,210,164,106,82,123,239,201,262,122
sample_1047,129,242,105,372,426,107,210,164,103,80,125,242,213,272,122
sample_1048,127,242,101,366,428,104,210,172,106,82,129,239,213,272,122
sample_1049,129,233,105,362,424,101,215,159,103,80,119,233,209,264,124
sample_1050,123,233,105,368,428,98,215,172,100,82,125,242,205,264,124
sample_1051,125,236,109,372,424,101,215,168,100,78,129,239,205,264,124
sample_1052,119,233,109,368,426,104,210,172,100,84,125,236,201,270,124
sample_1053,129,236,105,372,426,104,215,172,106,80,125,239,213,261,122
sample_1054,123,245,113,361,424,104,210,176,100,82,123,236,205,262,122
sample_1055,127,245,101,364,428,104,210,164,109,82,125,245,213,272,122
sample_1056,125,239,105,368,426,107,210,172,112,86,119,236,205,266,124
sample_1057,123,239,113,361,424,98,215,176,103,82,121,236,205,264,122
sample_1058,129,245,101,372,424,104,215,168,103,82,127,245,213,270,124
sample_1059,127,239,109,368,424,104,215,168,97,78,127,239,213,264,124
sample_1060,125,239,109,372,426,104,210,164,100,80,127,242,213,266,122
sample_1061,125,239,109,370,422,101,215,172,100,82,125,239,209,262,124
sample_1062,129,242,101,364,428,98,210,172,106,82,129,245,213,268,122
sample_1063,129,239,105,366,428,107,210,164,109,82,129,242,213,272,122
sample_1064,123,239,109,362,422,104,210,172,106,86,121,239,205,266,122
sample_1065,129,236,101,364,428,107,210,164,106,80,127,245,213,270,122
sample_1066,119,236,105,361,424,98,215,176,103,80,121,245,205,262,122
sample_1067,121,233,113,362,428,98,215,172,100,78,121,236,205,264,122
sample_1068,121,242,105,368,426,98,210,172,103,80,119,242,209,264,122
sample_1069,125,239,113,370,428,101,210,172,100,82,129,239,213,261,124
sample_1070,123,245,113,364,424,98,215,176,100,78,125,233,201,262,122
sample_1071,119,236,113,368,428,104,215,164,106,86,125,242,213,264,124
sample_1072,121,245,109,361,424,98,215,176,103,78,123,239,205,264,122
sample_1073,121,236,113,361,424,98,215,176,100,78,125,239,205,262,122
sample_1074,119,242,105,368,426,107,210,172,112,86,125,239,205,261,124
sample_1075,119,236,113,364,426,104,210,159,97,82,123,236,205,261,124
sample_1076,121,233,113,361,424,98,210,176,100,78,121,236,205,262,124
sample_1077,123,242,101,366,428,107,210,159,112,80,125,242,205,262,122
sample_1078,127,242,105,372,424,101,215,159,100,80,125,233,205,261,124
sample_1079,127,233,109,368,428,107,210,164,109,82,127,245,205,266,122
sample_1080,125,239,105,368,426,104,210,164,100,82,125,239,213,262,124
sample_1081,123,233,105,368,426,107,215,172,106,86,127,236,205,270,124
sample_1082,125,239,105,364,422,101,210,172,97,82,127,239,209,262,124
sample_1083,123,239,113,364,424,98,215,172,100,82,121,233,205,264,122
sample_1084,125,239,109,372,426,101,215,159,100,80,127,239,205,261,124
sample_1085,121,245,109,364,424,98,210,176,106,82,123,239,205,264,124
sample_1086,125,242,105,364,428,107,215,164,103,82,129,242,213,268,122
sample_1087,121,236,113,361,428,104,215,176,103,78,121,239,205,262,124
sample_1088,123,236,113,364,424,98,215,176,100,82,123,245,205,262,124
sample_1089,125,239,109,364,422,98,215,172,103,86,125,233,205,262,124
sample_1090,129,239,105,372,428,101,210,172,103,80,127,239,205,262,124
sample_1091,125,239,105,372,424,101,215,172,100,82,125,239,209,261,124
sample_1092,121,242,109,366,426,107,210,164,106,86,121,239,209,261,122
sample_1093,123,236,113,361,424,98,210,172,100,84,121,239,205,262,122
sample_1094,127,239,113,370,422,101,215,172,100,78,125,236,205,262,124
sample_1095,129,233,105,372,424,107,215,164,100,82,125,245,213,270,122
sample_1096,125,242,101,366,426,104,210,164,109,82,129,245,213,270,124
sample_1097,125,236,105,364,422,107,210,172,109,80,123,236,209,266,122
sample_1098,121,233,109,361,424,104,215,172,100,82,125,239,205,264,122
sample_1099,123,233,113,362,424,98,215,172,100,82,125,239,205,261,122
sample_1100,125,239,113,372,426,104,215,172,106,78,129,239,209,261,124
sample_1101,119,233,109,364,428,110,215,176,106,86,121,236,205,262,122
sample_1102,121,233,113,364,428,101,210,168,109,86,119,239,205,261,122
sample_1103,129,236,109,372,428,101,210,168,103,82,125,239,213,261,124
sample_1104,125,242,105,370,428,104,215,168,97,82,129,239,209,261,124
sample_1105,129,239,105,370,428,104,215,168,97,80,127,239,209,262,124
sample_1106,123,233,109,361,428,98,215,176,100,78,123,242,205,261,124
sample_1107,127,242,101,364,428,107,210,164,109,84,127,242,213,262,124
sample_1108,125,233,105,364,428,107,210,164,103,86,123,236,213,261,122
sample_1109,123,236,105,364,422,104,210,172,112,80,123,239,205,268,124
sample_1110,127,233,105,364,428,107,210,164,106,82,129,245,213,272,122
sample_1111,123,236,113,361,426,98,215,172,100,80,121,236,205,264,122
sample_1112,127,245,101,370,426,110,210,168,103,82,125,245,209,272,122
sample_1113,125,245,101,372,428,98,210,172,109,84,129,236,209,272,122
sample_1114,127,239,105,372,428,104,215,164,100,82,127,239,209,261,124
sample_1115,121,239,109,372,426,107,215,168,103,80,125,239,205,261,124
sample_1116,121,239,109,372,428,104,215,168,100,80,129,239,213,261,124
sample_1117,121,233,113,361,424,101,215,172,100,82,123,245,205,262,122
sample_1118,119,233,105,361,424,98,215,176,100,80,123,239,205,261,122
sample_1119,119,239,105,361,428,98,210,172,103,86,119,236,201,268,124
sample_1120,119,239,109,364,422,110,215,172,109,82,125,236,205,264,124
sample_1121,129,239,105,372,426,104,215,168,100,80,125,233,209,261,122
sample_1122,127,245,101,364,426,110,210,164,103,82,125,245,213,268,122
sample_1123,123,239,101,362,428,98,210,176,106,86,123,236,205,262,124
sample_1124,125,233,105,370,428,98,210,172,106,82,125,242,213,272,122
sample_1125,121,239,105,372,426,101,215,159,103,82,127,239,209,261,124
sample_1126,129,236,101,364,426,107,210,164,109,84,127,236,213,272,122
sample_1127,121,233,109,361,426,104,215,176,100,78,121,245,205,264,124
sample_1128,129,239,105,372,426,101,210,168,106,78,125,239,205,261,122
sample_1129,129,239,109,372,422,101,215,168,97,78,129,239,205,264,124
sample_1130,125,233,105,370,426,101,215,168,103,80,123,239,209,261,124
sample_1131,129,239,105,364,426,104,210,164,109,80,129,242,213,262,122
sample_1132,121,239,113,361,424,101,210,176,100,84,125,239,205,264,124
sample_1133,125,233,105,364,424,110,210,172,106,82,123,233,205,264,124
sample_1134,119,242,113,362,422,104,210,164,109,84,121,239,205,266,122
sample_1135,121,236,113,361,428,101,215,172,100,78,123,245,205,264,122
sample_1136,127,236,105,366,428,107,215,172,112,86,121,242,205,262,124
sample_1137,123,239,109,361,424,101,215,176,106,82,123,233,205,262,122
sample_1138,121,239,105,370,428,104,215,172,106,78,129,233,209,261,124
sample_1139,125,239,105,366,428,110,210,159,103,82,125,236,209,261,124
sample_1140,125,239,109,372,428,101,215,164,100,78,125,239,213,262,124
sample_1141,129,245,105,372,426,104,210,164,109,80,129,245,209,272,124
sample_1142,125,239,105,368,428,101,215,168,106,80,127,239,213,261,124
sample_1143,127,245,101,362,428,104,215,164,109,80,125,236,209,272,122
sample_1144,127,239,105,368,428,110,210,168,106,86,125,233,213,262,124
sample_1145,129,245,105,364,428,110,210,164,109,82,127,239,209,262,122
sample_1146,127,245,105,364,428,98,210,164,109,82,127,245,213,272,122
sample_1147,125,242,105,362,428,107,215,164,112,82,127,236,213,266,122
sample_1148,129,239,105,370,428,101,210,164,103,78,129,236,213,261,124
sample_1149,121,236,105,368,426,107,210,176,97,82,127,236,209,262,124
sample_1150,125,239,105,372,426,104,215,172,103,82,127,239,209,262,122
sample_1151,119,236,113,366,428,101,210,172,106,80,121,233,213,268,124
sample_1152,127,239,109,366,428,107,210,164,109,84,127,233,213,268,122
sample_1153,123,236,105,366,428,104,215,172,112,82,125,236,209,264,124
sample_1154,123,245,109,361,424,98,210,176,103,84,123,236,201,264,122
sample_1155,125,239,113,370,426,101,215,168,100,80,125,239,205,261,124
sample_1156,121,245,105,372,424,104,215,172,103,78,125,239,213,262,124
sample_1157,125,245,101,364,424,104,210,159,112,82,127,242,213,272,124
sample_1158,125,236,105,368,426,110,215,172,106,84,119,242,209,262,124
sample_1159,125,233,109,372,426,104,215,172,100,80,125,239,205,261,122
sample_1160,127,236,101,362,428,98,210,164,109,82,129,242,209,272,122
sample_1161,127,233,109,370,428,104,210,164,109,82,125,233,213,272,122
sample_1162,129,239,105,372,428,101,210,168,97,80,127,239,209,264,124
sample_1163,123,233,113,361,428,98,215,176,103,80,123,242,205,266,122
sample_1164,125,236,101,372,428,110,210,164,109,82,125,236,209,272,122
sample_1165,121,242,105,361,422,104,215,172,97,86,121,239,213,262,124
sample_1166,123,236,109,366,426,104,210,168,109,84,123,236,209,261,124
sample_1167,121,233,113,362,424,98,215,176,103,82,123,239,201,262,124
sample_1168,125,239,109,370,426,104,215,164,100,78,127,242,205,262,122
sample_1169,121,233,113,361,424,98,215,172,100,80,121,239,205,261,122
sample_1170,127,239,109,372,426,101,215,168,103,80,129,239,205,261,124
sample_1171,127,239,113,372,428,101,215,172,100,80,125,239,209,264,124
sample_1172,125,233,109,364,424,98,215,172,109,82,125,242,213,272,124
sample_1173,127,236,105,364,424,104,210,168,103,84,125,236,205,268,124
sample_1174,127,242,101,362,424,110,210,164,109,82,127,245,213,266,122
sample_1175,121,239,109,372,426,101,215,168,100,78,127,239,209,261,124
sample_1176,121,239,109,361,424,98,210,172,100,78,123,242,205,262,122
sample_1177,125,239,105,370,428,101,210,176,100,80,127,239,213,264,124
sample_1178,121,239,109,361,424,101,210,164,106,86,127,236,213,262,122
sample_1179,123,233,113,361,424,98,210,176,100,78,121,233,205,264,122
sample_1180,123,236,109,361,424,98,210,176,103,78,123,233,205,262,122
sample_1181,123,236,109,364,428,104,210,172,106,86,125,239,201,266,124
sample_1182,127,239,105,366,428,107,210,172,106,84,123,233,209,264,124
sample_1183,127,239,101,372,428,107,215,164,109,82,127,245,213,272,122
sample_1184,123,236,113,361,426,98,210,176,100,82,121,236,201,264,122
sample_1185,121,233,113,361,428,98,215,172,100,82,125,245,201,264,122
sample_1186,123,236,113,361,424,98,210,172,100,82,123,242,205,264,124
sample_1187,127,245,101,372,428,107,210,164,109,82,129,239,213,268,122
sample_1188,129,245,101,372,428,104,210,164,106,82,127,245,213,272,122
sample_1189,127,239,109,372,424,101,215,172,106,78,127,239,205,261,124
sample_1190,129,239,113,372,424,98,215,172,100,82,127,239,209,261,122
sample_1191,129,236,105,364,426,98,215,159,112,84,125,242,209,270,122
sample_1192,125,239,109,370,422,101,215,168,106,80,129,239,205,262,124
sample_1193,123,233,113,361,424,98,210,176,103,82,125,242,205,266,122
sample_1194,119,236,109,364,426,107,215,172,100,86,121,239,205,270,124
sample_1195,121,233,109,361,424,98,210,172,100,80,125,236,201,264,122
sample_1196,125,239,109,372,422,104,215,168,97,82,125,236,213,261,124
sample_1197,125,245,105,366,428,107,210,164,109,82,129,233,213,264,122
sample_1198,127,245,101,368,426,104,210,164,109,82,127,245,213,272,124
sample_1199,121,236,113,361,424,98,210,176,100,84,121,233,205,264,122
sample_1200,125,233,109,372,424,107,215,164,100,78,127,242,209,261,124
sample_1201,123,233,113,362,426,107,210,164,109,86,123,239,213,264,122
sample_1202,121,239,105,361,424,98,215,176,106,82,121,239,201,262,122
sample_1203,123,245,113,361,424,98,215,176,103,78,121,233,205,264,122
sample_1204,119,233,113,361,424,98,215,172,103,78,123,239,205,261,122
sample_1205,119,239,109,364,422,107,210,172,100,84,125,236,205,264,122
sample_1206,123,236,105,368,426,107,210,164,109,86,121,236,205,261,122
sample_1207,123,245,113,361,426,98,210,176,103,78,123,236,201,264,122
sample_1208,125,233,109,370,422,101,215,172,100,80,129,239,213,264,124
sample_1209,121,245,105,372,426,104,215,172,100,80,125,242,209,261,124
sample_1210,123,233,105,361,424,98,210,172,100,80,125,236,205,261,122
sample_1211,123,236,113,361,424,104,210,176,106,80,121,236,205,264,122
sample_1212,125,239,105,368,426,101,215,168,106,80,123,239,205,261,122
sample_1213,129,239,109,368,424,101,210,168,100,78,127,239,209,261,122
sample_1214,121,239,113,370,426,104,210,172,112,86,119,233,205,264,124
sample_1215,119,236,105,362,426,104,210,172,109,86,125,233,205,262,122
sample_1216,121,236,113,364,426,104,210,172,103,82,125,236,205,270,124
sample_1217,121,242,105,370,422,110,210,172,109,86,123,239,205,268,124
sample_1218,121,242,105,370,422,98,215,172,112,82,121,233,205,270,122
sample_1219,123,236,113,361,424,98,215,172,103,78,123,236,205,261,124
sample_1220,123,239,109,372,428,101,215,168,103,82,129,233,213,264,124
sample_1221,125,245,105,372,428,101,215,172,97,78,125,233,209,262,124
sample_1222,125,245,105,364,428,110,215,168,109,80,129,245,213,262,122
sample_1223,127,239,105,364,428,104,210,168,112,84,125,233,201,270,124
sample_1224,123,236,113,361,424,98,215,172,106,84,121,233,205,264,122
sample_1225,127,239,105,370,426,101,215,168,106,78,125,239,209,264,124
sample_1226,125,242,109,366,428,104,210,176,106,84,125,239,205,261,124
sample_1227,125,239,113,370,426,101,215,159,100,82,125,239,209,261,124
sample_1228,123,233,105,361,424,98,215,172,100,78,123,239,205,262,122
sample_1229,123,233,113,361,424,98,210,176,103,82,121,242,205,264,122
sample_1230,123,236,113,364,428,104,210,168,100,84,125,236,201,264,124
sample_1231,123,233,113,361,426,98,215,172,103,80,125,236,205,266,124
sample_1232,119,236,113,361,424,104,210,172,100,84,123,239,205,264,124
sample_1233,119,233,109,361,424,98,210,176,103,84,121,245,205,266,124
sample_1234,123,239,109,362,422,107,210,172,109,86,121,242,209,268,124
sample_1235,121,236,109,364,424,104,215,172,100,78,125,245,205,262,122
sample_1236,119,239,105,366,426,110,210,168,97,84,121,236,213,270,122
sample_1237,125,239,105,368,422,104,215,172,97,82,123,239,209,261,124
sample_1238,129,239,105,372,424,104,215,168,100,80,123,239,209,262,124
sample_1239,123,239,105,372,426,101,215,172,103,78,129,233,205,262,122
sample_1240,127,245,105,370,428,104,210,164,109,82,129,239,213,272,122
sample_1241,129,239,109,370,422,101,215,164,97,78,127,239,205,262,124
sample_1242,123,236,105,364,428,110,210,172,97,84,123,233,201,262,122
sample_1243,121,239,109,364,426,107,210,176,106,84,129,239,213,266,124
sample_1244,127,242,105,364,428,104,210,164,109,82,127,245,209,264,124
sample_1245,127,239,113,370,428,98,215,159,100,78,125,239,209,262,124
sample_1246,125,242,105,364,428,107,210,159,103,82,129,242,209,270,122
sample_1247,127,236,109,370,428,98,210,164,106,80,129,245,205,264,124
sample_1248,127,245,105,364,426,107,210,164,106,82,129,242,213,264,122
sample_1249,129,242,105,366,428,110,215,164,109,82,129,239,213,266,124
sample_1250,127,239,109,370,428,104,215,168,97,78,125,239,209,264,124
sample_1251,121,245,109,361,426,104,210,176,100,80,121,239,205,264,122
sample_1252,123,239,109,368,428,107,215,172,97,80,125,233,213,261,124
sample_1253,121,233,113,361,426,98,215,172,100,82,121,236,205,264,122
sample_1254,129,239,105,362,428,104,210,172,100,82,129,245,209,272,122
sample_1255,125,239,105,370,424,104,215,168,100,82,129,239,213,262,124
sample_1256,125,245,105,370,428,107,210,164,103,82,127,245,209,270,124
sample_1257,125,233,101,364,428,104,210,164,112,80,125,239,213,264,122
sample_1258,121,236,105,362,426,98,210,176,103,82,121,233,205,264,122
sample_1259,125,236,101,361,428,101,215,176,106,86,121,242,205,268,122
sample_1260,119,236,105,364,422,104,210,172,100,82,125,239,213,264,124
sample_1261,121,236,109,372,426,104,215,164,97,80,125,239,209,264,124
sample_1262,127,239,109,370,428,104,215,172,103,78,127,239,213,261,124
sample_1263,125,239,105,372,428,107,210,164,109,82,127,233,205,272,124
sample_1264,119,236,113,361,424,104,210,172,109,86,125,239,201,266,124
sample_1265,119,242,101,361,428,104,210,164,97,82,125,236,201,262,122
sample_1266,125,245,109,372,428,104,215,168,103,80,123,236,205,261,124
sample_1267,129,239,101,364,428,104,210,164,109,82,129,242,213,266,122
sample_1268,129,239,105,370,424,101,215,172,97,78,129,233,205,261,122
sample_1269,121,233,113,361,424,98,215,172,100,80,121,245,205,262,122
sample_1270,123,239,109,372,424,98,215,176,106,80,127,239,213,261,124
sample_1271,121,233,105,361,424,98,215,172,100,80,123,233,201,264,122
sample_1272,121,239,105,372,428,101,215,168,100,78,129,239,205,264,124
sample_1273,129,242,109,364,428,107,215,164,109,82,129,242,213,272,122
sample_1274,127,242,109,368,424,101,215,168,97,80,127,239,209,261,124
sample_1275,119,233,105,364,428,107,215,164,103,80,125,239,209,264,122
sample_1276,121,239,109,372,424,101,215,172,106,78,129,236,213,262,124
sample_1277,125,239,105,370,428,104,215,168,100,78,127,239,205,262,124
sample_1278,119,239,109,368,426,101,210,172,106,86,121,236,205,266,124
sample_1279,123,239,109,361,428,101,215,172,100,86,125,236,205,268,124
sample_1280,129,233,109,370,428,101,215,172,100,82,125,245,209,261,124
sample_1281,125,245,109,372,424,107,210,164,109,82,127,242,213,262,122
sample_1282,119,236,105,362,424,101,210,164,106,84,123,236,209,266,124
sample_1283,127,245,105,368,426,107,210,164,106,80,127,236,213,262,122
sample_1284,121,239,113,370,422,98,215,168,100,78,127,242,205,261,124
sample_1285,125,242,105,362,428,104,215,164,109,82,129,233,213,268,122
sample_1286,121,233,109,362,424,98,215,176,100,82,121,245,205,261,124
sample_1287,129,245,105,364,426,104,210,164,112,82,127,245,213,272,122
sample_1288,125,239,109,372,428,101,215,176,106,78,125,239,213,264,124
sample_1289,119,233,105,364,424,107,210,172,106,86,123,236,205,268,122
sample_1290,127,242,105,362,428,107,210,164,112,82,127,245,213,272,122
sample_1291,121,239,113,361,424,98,210,176,103,84,121,239,205,262,122
sample_1292,121,239,105,364,428,101,215,172,100,86,121,236,201,264,122
sample_1293,123,233,113,361,424,98,215,172,103,78,121,233,205,261,122
sample_1294,129,236,109,364,428,104,210,164,100,82,123,233,205,264,124
sample_1295,121,233,113,364,424,98,215,172,103,80,123,242,205,262,122
sample_1296,127,245,101,364,428,107,210,164,97,82,129,236,213,272,122
sample_1297,121,233,113,361,426,98,215,176,100,80,123,233,205,262,122
sample_1298,123,236,113,361,424,98,215,172,103,78,121,239,205,262,122
sample_1299,119,236,113,361,424,110,210,172,103,86,129,239,205,266,124
